Cantidad,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Promedio Tiempo,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Promedio Iteración
100000,16,17,17,21,16,17,2494683775,4996588451,7493889658,9999763817,12493960696,7495777279,
101000,20,19,19,19,19,19,15040165199,17598153977,20140887171,22698156777,25246218920,20144716408,
102000,19,20,19,20,20,19,27849330412,30435187227,33028389045,35627576858,38226448397,33033386387,
103000,20,19,19,19,19,19,40880023660,43524891667,46176776855,48834791382,51491130142,46181522741,
104000,20,20,20,20,20,20,54199233716,56899506987,59599826030,62299759803,65001578602,59599981027,
105000,20,20,20,20,20,20,67764340829,70525813714,73279537750,76038934714,78804687413,73282662884,
