Cantidad,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Promedio Tiempo,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Promedio Iteración
20,0,0,0,0,0,0,12,25,38,51,63,37,
30,0,0,0,0,0,0,83,104,122,143,165,123,
40,0,0,0,0,0,0,192,216,241,266,293,241,
50,0,0,0,0,0,0,327,361,393,427,459,393,
60,0,0,0,0,0,0,498,541,578,617,657,578,
70,0,0,0,0,0,0,704,753,800,845,891,798,
80,0,0,0,0,0,0,944,999,1051,1105,1158,1051,
90,0,0,0,0,0,0,1217,1272,1332,1390,1452,1332,
100,0,0,0,0,0,0,1520,1583,1647,1716,1782,1649,
