Cantidad,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Promedio Tiempo,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Promedio Iteración
5000,0.003,0.0,0.001,0.0,0.0,8.0E-4,3342.0,6688.0,10022.0,13365.0,16699.0,10023.2,
10000,0.001,0.001,0.001,0.001,0.001,0.001,23355.0,30058.0,36716.0,43406.0,50085.0,36724.0,
15000,0.001,0.001,0.001,0.001,0.001,0.001,60125.0,70123.0,80110.0,90093.0,100123.0,80114.8,
20000,0.002,0.001,0.001,0.002,0.001,0.0014,113473.0,126811.0,140096.0,153494.0,166773.0,140129.4,
