Cantidad,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Promedio Tiempo,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Promedio Iteración
1000,0.0,0.0,0.0,0.0,0.0,0.0,10,20,30,40,50,30,
6000,0.0,0.0,0.0,0.0,0.0,0.0,63,76,89,102,115,89,
11000,0.0,0.0,0.0,0.0,0.0,0.0,128,140,153,167,180,153,
16000,0.0,0.0,0.0,0.0,0.0,0.0,193,206,216,230,243,217,
21000,0.0,0.0,0.0,0.0,0.0,0.0,254,268,281,294,308,281,
26000,0.0,0.0,0.0,0.0,0.0,0.0,323,335,350,364,377,349,
31000,0.0,0.0,0.0,0.0,0.0,0.0,391,403,414,426,441,415,
36000,0.0,0.0,0.0,0.0,0.0,0.0,453,466,480,495,509,480,
41000,0.0,0.0,0.0,0.0,0.0,0.0,521,534,543,558,571,545,
46000,0.0,0.0,0.0,0.0,0.0,0.0,585,595,608,619,632,607,
51000,0.0,0.0,0.0,0.0,0.0,0.0,645,656,668,681,695,669,
56000,0.0,0.0,0.0,0.0,0.0,0.0,708,721,734,747,761,734,
61000,0.0,0.0,0.0,0.0,0.0,0.0,771,786,798,811,820,797,
66000,0.0,0.0,0.0,0.0,0.0,0.0,830,844,854,867,881,855,
71000,0.0,0.0,0.0,0.0,0.0,0.0,895,909,921,934,947,921,
76000,0.0,0.0,0.0,0.0,0.0,0.0,959,972,984,996,1006,983,
81000,0.0,0.0,0.0,0.0,0.0,0.0,1019,1031,1044,1057,1070,1044,
86000,0.0,0.0,0.0,0.0,0.0,0.0,1082,1094,1105,1117,1130,1105,
91000,0.0,0.0,0.0,0.0,0.0,0.0,1144,1157,1171,1184,1195,1170,
96000,0.0,0.0,0.0,0.0,0.0,0.0,1204,1217,1230,1241,1251,1228,
