Cantidad,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Promedio Tiempo,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Promedio Iteración
1590000,0.0,0.0,0.0,0.0,0.0,0.0,3678,3687,3699,3712,3725,3700,
1600000,0.0,0.0,0.0,0.0,0.0,0.0,3739,3753,3766,3778,3791,3765,
1610000,0.0,0.0,0.0,0.0,0.0,0.0,3800,3813,3826,3840,3854,3826,
1620000,0.0,0.0,0.0,0.0,0.0,0.0,3866,3878,3891,3903,3914,3890,
1630000,0.0,0.0,0.0,0.0,0.0,0.0,3926,3939,3949,3962,3975,3950,
1640000,0.0,0.0,0.0,0.0,0.0,0.0,3987,3998,4012,4026,4039,4012,
1650000,0.0,0.0,0.0,0.0,0.0,0.0,4051,4064,4075,4087,4099,4075,
1660000,0.0,0.0,0.0,0.0,0.0,0.0,4112,4126,4139,4152,4165,4138,
1670000,0.0,0.0,0.0,0.0,0.0,0.0,4178,4191,4204,4218,4230,4204,
1680000,0.0,0.0,0.0,0.0,0.0,0.0,4243,4254,4267,4274,4286,4264,
1690000,0.0,0.0,0.0,0.0,0.0,0.0,4297,4306,4318,4328,4339,4317,
1700000,0.0,0.0,0.0,0.0,0.0,0.0,4352,4366,4380,4393,4405,4379,
1710000,0.0,0.0,0.0,0.0,0.0,0.0,4419,4433,4445,4458,4471,4445,
1720000,0.0,0.0,0.0,0.0,0.0,0.0,4484,4498,4511,4524,4537,4510,
1730000,0.0,0.0,0.0,0.0,0.0,0.0,4550,4563,4574,4586,4597,4574,
1740000,0.0,0.0,0.0,0.0,0.0,0.0,4610,4622,4635,4648,4661,4635,
1750000,0.0,0.0,0.0,0.0,0.0,0.0,4673,4687,4700,4712,4726,4699,
1760000,0.0,0.0,0.0,0.0,0.0,0.0,4739,4752,4764,4777,4791,4764,
1770000,0.0,0.0,0.0,0.0,0.0,0.0,4803,4816,4827,4837,4850,4826,
1780000,0.0,0.0,0.0,0.0,0.0,0.0,4862,4871,4884,4895,4906,4883,
1790000,0.0,0.0,0.0,0.0,0.0,0.0,4919,4932,4946,4958,4970,4945,
1800000,0.0,0.0,0.0,0.0,0.0,0.0,4983,4996,5009,5022,5034,5008,
1810000,0.0,0.0,0.0,0.0,0.0,0.0,5045,5056,5067,5080,5091,5067,
1820000,0.0,0.0,0.0,0.0,0.0,0.0,5104,5117,5130,5142,5154,5129,
1830000,0.0,0.0,0.0,0.0,0.0,0.0,5167,5179,5192,5204,5218,5192,
1840000,0.0,0.0,0.0,0.0,0.0,0.0,5231,5244,5252,5264,5277,5253,
1850000,0.0,0.0,0.0,0.0,0.0,0.0,5286,5298,5307,5320,5334,5309,
1860000,0.0,0.0,0.0,0.0,0.0,0.0,5346,5360,5372,5385,5398,5372,
1870000,0.0,0.0,0.0,0.0,0.0,0.0,5412,5423,5435,5448,5461,5435,
1880000,0.0,0.0,0.0,0.0,0.0,0.0,5475,5489,5500,5513,5526,5500,
1890000,0.0,0.0,0.0,0.0,0.0,0.0,5539,5550,5563,5575,5588,5563,
1900000,0.0,0.0,0.0,0.0,0.0,0.0,5600,5613,5626,5639,5652,5626,
1910000,0.0,0.0,0.0,0.0,0.0,0.0,5663,5677,5690,5702,5716,5689,
1920000,0.0,0.0,0.0,0.0,0.0,0.0,5726,5740,5751,5765,5774,5751,
1930000,0.0,0.0,0.0,0.0,0.0,0.0,5786,5799,5811,5822,5832,5810,
1940000,0.0,0.0,0.0,0.0,0.0,0.0,5845,5859,5871,5885,5899,5871,
1950000,0.0,0.0,0.0,0.0,0.0,0.0,5911,5924,5936,5949,5962,5936,
1960000,0.0,0.0,0.0,0.0,0.0,0.0,5974,5988,6002,6016,6029,6001,
1970000,0.0,0.0,0.0,0.0,0.0,0.0,6042,6056,6070,6082,6087,6067,
